Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.85712070510478E-18,8.0898261080191E-17,0.0641483106740881,0,0,0,7.90566638033927,0.0740610072049505,1.19114008207636E-18,-3.43605847277178E-19,0.0740610072049504,-2.91899990167911E-19,0.140190829063453,0,0,0,0,0,0,package://spider_sldasm/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/base_link.STL,,本体-2,Link0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1-1,-1.38777878078145E-17,-0.0824991118658973,0.000966036806063971,0,0,0,0.60284248189571,0.00210602160556376,5.42101086242752E-20,-1.26331164212216E-19,0.00105493812743913,-4.80448449051382E-05,0.00156945455541681,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-1.STL,,d1转轴-1,Link1-1,Joint1-1,Joint1-1,revolute,0.15,-0.15,0.0616299999999999,0,0,0.785398163397447,base_link,0,0,-1,0,0,-1,1,,,,,,,,
Link1-2,-0.00479415322174973,-0.0847961946098215,-5.55111512312578E-17,0,0,0,0.28929926430132,0.00152383905464937,-3.05655686688109E-06,-6.80907477562248E-20,0.000667153490245799,-1.00288700954909E-18,0.0011236331918339,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-2.STL,,d1 输出轴-1,Link1-2,Joint1-2,Joint1-2,revolute,-0.000499999999999893,-0.122,0,0,1.5707963267949,0,Link1-1,0,0,1,0,0,-1,1,,,,,,,,
Link1-3,-0.0212856835694414,0.0162510019057966,-1.11022302462516E-16,0,0,0,0.308599743887214,0.000308593278300975,6.96859251783211E-05,-2.68525575408109E-20,0.00028646456343213,-4.06575814682064E-20,0.000370142068779215,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-3.STL,,d2转轴-1;d3转轴-1,Link1-3,Joint1-3,Joint1-3,revolute,0,-0.16,0,0,0,-3.14159265358979,Link1-2,0,0,-1,0,0,-1,1,,,,,,,,
Link1-4,-5.55111512312578E-17,-0.0107888161826106,-0.0385492469461684,0,0,0,0.202208844102152,0.000133800346594459,-6.7762635780344E-21,-6.85693779921257E-21,0.000134543569387916,-3.58496269912012E-06,9.70688132526932E-05,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-4.STL,1,1,1,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-4.STL,,d4 固定端-1,Link1-4,Joint1-4,Joint1-4,revolute,-0.0980000000000001,0.0330000000000001,0,0,1.5707963267949,0,Link1-3,0,0,1,0,0,-1,1,,,,,,,,
Link1-5,-0.0446928785140153,5.33822984327692E-05,0.000410534681949681,0,0,0,0.172400029670848,9.58040310067531E-05,-4.002159697695E-07,-2.40028498360103E-06,9.1862619595287E-05,-2.49307324658601E-07,8.93978244481122E-05,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-5.STL,,d5转轴-1,Link1-5,Joint1-5,Joint1-5,revolute,0,-0.000999979603148238,-0.0869999940509131,0,-1.5707963267949,0,Link1-4,0,0,1,0,0,-1,1,,,,,,,,
Link1-6,-2.77555756156289E-17,-1.11022302462516E-16,0.0183965614696087,0,0,0,0.385234192705995,0.000490900876230675,-4.06575814682064E-20,-8.11393380219746E-21,0.000490900876230675,-4.58031337370492E-22,0.000769296861776585,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-6.STL,1,1,1,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link1-6.STL,,d5 输出轴-1,Link1-6,Joint1-6,Joint1-6,revolute,-0.0695,0,0,-1.5707963267949,-1.31825247088009,-1.5707963267949,Link1-5,0,0,-1,0,0,-1,1,,,,,,,,
Link2-1,-1.38777878078145E-17,-0.0824991118658973,0.000966036806063968,0,0,0,0.602842481895709,0.00210602160556376,2.16840434497101E-19,3.71965579161499E-20,0.00105493812743913,-4.80448449051384E-05,0.00156945455541681,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-1.STL,,d1转轴-2,Link2-1,Joint2-1,Joint2-1,revolute,0.15,0.15,0.0616299999999999,0,0,2.35619449019235,base_link,0,0,-1,0,0,-1,1,,,,,,,,
Link2-2,-0.00479415322174973,0.0847961946098213,8.32667268468867E-17,0,0,0,0.28929926430132,0.00152383905464937,3.05655686688129E-06,-1.03399283610877E-19,0.000667153490245799,3.25260651745651E-19,0.0011236331918339,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-2.STL,,d1 输出轴-2,Link2-2,Joint2-2,Joint2-2,revolute,-0.000499999999999881,-0.121999999999999,0,3.14159265358979,1.5707963267949,0,Link2-1,0,0,-1,0,0,-1,1,,,,,,,,
Link2-3,-0.0212856835694414,0.0162510019057966,8.32667268468867E-17,0,0,0,0.308599743887214,0.000308593278300975,6.96859251783212E-05,-6.81639446154429E-21,0.00028646456343213,6.7762635780344E-20,0.000370142068779215,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-3.STL,,d2转轴-3;d3转轴-3,Link2-3,Joint2-3,Joint2-3,revolute,0,0.16,0,3.14159265358979,0,-3.14159265358979,Link2-2,0,0,-1,0,0,-1,1,,,,,,,,
Link2-4,0,-0.0107888161826107,-0.0385492469461684,0,0,0,0.202208844102152,0.000133800346594459,-1.35525271560688E-20,8.99884030175431E-21,0.000134543569387916,-3.58496269912012E-06,9.70688132526933E-05,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-4.STL,1,1,1,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-4.STL,,d4 固定端-4,Link2-4,Joint2-4,Joint2-4,continuous,-0.0980000000000001,0.0329999999999999,0,0,1.5707963267949,0,Link2-3,0,0,1,0,0,-1,1,,,,,,,,
Link2-5,-0.0446928785140153,5.33822984327692E-05,0.000410534681949737,0,0,0,0.172400029670848,9.58040310067531E-05,-4.00215969769498E-07,-2.40028498360102E-06,9.1862619595287E-05,-2.49307324658608E-07,8.93978244481121E-05,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-5.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://spider_sldasm/meshes/Link2-5.STL,,d5转轴-7,Link2-5,Joint2-5,Joint2-5,revolute,0,-0.000999979603148238,-0.0869999940509131,0,-1.5707963267949,0,Link2-4,0,0,1,0,0,-1,1,,,,,,,,
