time,x,y,z
0.0000,0.000000,0,0.000000
0.0100,0.000167,0,0.000333
0.0200,0.000334,0,0.000664
0.0300,0.000502,0,0.000993
0.0400,0.000669,0,0.001320
0.0500,0.000836,0,0.001644
0.0600,0.001003,0,0.001966
0.0700,0.001171,0,0.002286
0.0800,0.001338,0,0.002604
0.0900,0.001505,0,0.002919
0.1000,0.001672,0,0.003233
0.1100,0.001839,0,0.003544
0.1200,0.002007,0,0.003852
0.1300,0.002174,0,0.004159
0.1400,0.002341,0,0.004463
0.1500,0.002508,0,0.004765
0.1600,0.002676,0,0.005065
0.1700,0.002843,0,0.005362
0.1800,0.003010,0,0.005658
0.1900,0.003177,0,0.005951
0.2000,0.003344,0,0.006242
0.2100,0.003512,0,0.006530
0.2200,0.003679,0,0.006816
0.2300,0.003846,0,0.007101
0.2400,0.004013,0,0.007382
0.2500,0.004181,0,0.007662
0.2600,0.004348,0,0.007940
0.2700,0.004515,0,0.008215
0.2800,0.004682,0,0.008488
0.2900,0.004849,0,0.008758
0.3000,0.005017,0,0.009027
0.3100,0.005184,0,0.009293
0.3200,0.005351,0,0.009557
0.3300,0.005518,0,0.009819
0.3400,0.005686,0,0.010078
0.3500,0.005853,0,0.010335
0.3600,0.006020,0,0.010590
0.3700,0.006187,0,0.010843
0.3800,0.006355,0,0.011094
0.3900,0.006522,0,0.011342
0.4000,0.006689,0,0.011588
0.4100,0.006856,0,0.011832
0.4200,0.007023,0,0.012074
0.4300,0.007191,0,0.012313
0.4400,0.007358,0,0.012550
0.4500,0.007525,0,0.012785
0.4600,0.007692,0,0.013018
0.4700,0.007860,0,0.013248
0.4800,0.008027,0,0.013476
0.4900,0.008194,0,0.013702
0.5000,0.008361,0,0.013926
0.5100,0.008528,0,0.014147
0.5200,0.008696,0,0.014367
0.5300,0.008863,0,0.014584
0.5400,0.009030,0,0.014798
0.5500,0.009197,0,0.015011
0.5600,0.009365,0,0.015221
0.5700,0.009532,0,0.015429
0.5800,0.009699,0,0.015635
0.5900,0.009866,0,0.015839
0.6000,0.010033,0,0.016040
0.6100,0.010201,0,0.016239
0.6200,0.010368,0,0.016436
0.6300,0.010535,0,0.016631
0.6400,0.010702,0,0.016823
0.6500,0.010870,0,0.017013
0.6600,0.011037,0,0.017201
0.6700,0.011204,0,0.017387
0.6800,0.011371,0,0.017570
0.6900,0.011538,0,0.017751
0.7000,0.011706,0,0.017930
0.7100,0.011873,0,0.018107
0.7200,0.012040,0,0.018282
0.7300,0.012207,0,0.018454
0.7400,0.012375,0,0.018624
0.7500,0.012542,0,0.018792
0.7600,0.012709,0,0.018957
0.7700,0.012876,0,0.019121
0.7800,0.013043,0,0.019282
0.7900,0.013211,0,0.019440
0.8000,0.013378,0,0.019597
0.8100,0.013545,0,0.019751
0.8200,0.013712,0,0.019904
0.8300,0.013880,0,0.020053
0.8400,0.014047,0,0.020201
0.8500,0.014214,0,0.020347
0.8600,0.014381,0,0.020490
0.8700,0.014548,0,0.020631
0.8800,0.014716,0,0.020769
0.8900,0.014883,0,0.020906
0.9000,0.015050,0,0.021040
0.9100,0.015217,0,0.021172
0.9200,0.015385,0,0.021302
0.9300,0.015552,0,0.021429
0.9400,0.015719,0,0.021555
0.9500,0.015886,0,0.021678
0.9600,0.016054,0,0.021798
0.9700,0.016221,0,0.021917
0.9800,0.016388,0,0.022033
0.9900,0.016555,0,0.022147
1.0000,0.016722,0,0.022259
1.0100,0.016890,0,0.022369
1.0200,0.017057,0,0.022476
1.0300,0.017224,0,0.022581
1.0400,0.017391,0,0.022684
1.0500,0.017559,0,0.022785
1.0600,0.017726,0,0.022883
1.0700,0.017893,0,0.022980
1.0800,0.018060,0,0.023074
1.0900,0.018227,0,0.023165
1.1000,0.018395,0,0.023255
1.1100,0.018562,0,0.023342
1.1200,0.018729,0,0.023427
1.1300,0.018896,0,0.023510
1.1400,0.019064,0,0.023590
1.1500,0.019231,0,0.023669
1.1600,0.019398,0,0.023745
1.1700,0.019565,0,0.023819
1.1800,0.019732,0,0.023890
1.1900,0.019900,0,0.023959
1.2000,0.020067,0,0.024027
1.2100,0.020234,0,0.024091
1.2200,0.020401,0,0.024154
1.2300,0.020569,0,0.024214
1.2400,0.020736,0,0.024273
1.2500,0.020903,0,0.024329
1.2600,0.021070,0,0.024382
1.2700,0.021237,0,0.024434
1.2800,0.021405,0,0.024483
1.2900,0.021572,0,0.024530
1.3000,0.021739,0,0.024575
1.3100,0.021906,0,0.024617
1.3200,0.022074,0,0.024657
1.3300,0.022241,0,0.024695
1.3400,0.022408,0,0.024731
1.3500,0.022575,0,0.024765
1.3600,0.022742,0,0.024796
1.3700,0.022910,0,0.024825
1.3800,0.023077,0,0.024852
1.3900,0.023244,0,0.024877
1.4000,0.023411,0,0.024899
1.4100,0.023579,0,0.024919
1.4200,0.023746,0,0.024937
1.4300,0.023913,0,0.024953
1.4400,0.024080,0,0.024966
1.4500,0.024247,0,0.024977
1.4600,0.024415,0,0.024986
1.4700,0.024582,0,0.024993
1.4800,0.024749,0,0.024997
1.4900,0.024916,0,0.025000
1.5000,0.025084,0,0.025000
1.5100,0.025251,0,0.024997
1.5200,0.025418,0,0.024993
1.5300,0.025585,0,0.024986
1.5400,0.025753,0,0.024977
1.5500,0.025920,0,0.024966
1.5600,0.026087,0,0.024953
1.5700,0.026254,0,0.024937
1.5800,0.026421,0,0.024919
1.5900,0.026589,0,0.024899
1.6000,0.026756,0,0.024877
1.6100,0.026923,0,0.024852
1.6200,0.027090,0,0.024825
1.6300,0.027258,0,0.024796
1.6400,0.027425,0,0.024765
1.6500,0.027592,0,0.024731
1.6600,0.027759,0,0.024695
1.6700,0.027926,0,0.024657
1.6800,0.028094,0,0.024617
1.6900,0.028261,0,0.024575
1.7000,0.028428,0,0.024530
1.7100,0.028595,0,0.024483
1.7200,0.028763,0,0.024434
1.7300,0.028930,0,0.024382
1.7400,0.029097,0,0.024329
1.7500,0.029264,0,0.024273
1.7600,0.029431,0,0.024214
1.7700,0.029599,0,0.024154
1.7800,0.029766,0,0.024091
1.7900,0.029933,0,0.024027
1.8000,0.030100,0,0.023959
1.8100,0.030268,0,0.023890
1.8200,0.030435,0,0.023819
1.8300,0.030602,0,0.023745
1.8400,0.030769,0,0.023669
1.8500,0.030936,0,0.023590
1.8600,0.031104,0,0.023510
1.8700,0.031271,0,0.023427
1.8800,0.031438,0,0.023342
1.8900,0.031605,0,0.023255
1.9000,0.031773,0,0.023165
1.9100,0.031940,0,0.023074
1.9200,0.032107,0,0.022980
1.9300,0.032274,0,0.022883
1.9400,0.032441,0,0.022785
1.9500,0.032609,0,0.022684
1.9600,0.032776,0,0.022581
1.9700,0.032943,0,0.022476
1.9800,0.033110,0,0.022369
1.9900,0.033278,0,0.022259
2.0000,0.033445,0,0.022147
2.0100,0.033612,0,0.022033
2.0200,0.033779,0,0.021917
2.0300,0.033946,0,0.021798
2.0400,0.034114,0,0.021678
2.0500,0.034281,0,0.021555
2.0600,0.034448,0,0.021429
2.0700,0.034615,0,0.021302
2.0800,0.034783,0,0.021172
2.0900,0.034950,0,0.021040
2.1000,0.035117,0,0.020906
2.1100,0.035284,0,0.020769
2.1200,0.035452,0,0.020631
2.1300,0.035619,0,0.020490
2.1400,0.035786,0,0.020347
2.1500,0.035953,0,0.020201
2.1600,0.036120,0,0.020053
2.1700,0.036288,0,0.019904
2.1800,0.036455,0,0.019751
2.1900,0.036622,0,0.019597
2.2000,0.036789,0,0.019440
2.2100,0.036957,0,0.019282
2.2200,0.037124,0,0.019121
2.2300,0.037291,0,0.018957
2.2400,0.037458,0,0.018792
2.2500,0.037625,0,0.018624
2.2600,0.037793,0,0.018454
2.2700,0.037960,0,0.018282
2.2800,0.038127,0,0.018107
2.2900,0.038294,0,0.017930
2.3000,0.038462,0,0.017751
2.3100,0.038629,0,0.017570
2.3200,0.038796,0,0.017387
2.3300,0.038963,0,0.017201
2.3400,0.039130,0,0.017013
2.3500,0.039298,0,0.016823
2.3600,0.039465,0,0.016631
2.3700,0.039632,0,0.016436
2.3800,0.039799,0,0.016239
2.3900,0.039967,0,0.016040
2.4000,0.040134,0,0.015839
2.4100,0.040301,0,0.015635
2.4200,0.040468,0,0.015429
2.4300,0.040635,0,0.015221
2.4400,0.040803,0,0.015011
2.4500,0.040970,0,0.014798
2.4600,0.041137,0,0.014584
2.4700,0.041304,0,0.014367
2.4800,0.041472,0,0.014147
2.4900,0.041639,0,0.013926
2.5000,0.041806,0,0.013702
2.5100,0.041973,0,0.013476
2.5200,0.042140,0,0.013248
2.5300,0.042308,0,0.013018
2.5400,0.042475,0,0.012785
2.5500,0.042642,0,0.012550
2.5600,0.042809,0,0.012313
2.5700,0.042977,0,0.012074
2.5800,0.043144,0,0.011832
2.5900,0.043311,0,0.011588
2.6000,0.043478,0,0.011342
2.6100,0.043645,0,0.011094
2.6200,0.043813,0,0.010843
2.6300,0.043980,0,0.010590
2.6400,0.044147,0,0.010335
2.6500,0.044314,0,0.010078
2.6600,0.044482,0,0.009819
2.6700,0.044649,0,0.009557
2.6800,0.044816,0,0.009293
2.6900,0.044983,0,0.009027
2.7000,0.045151,0,0.008758
2.7100,0.045318,0,0.008488
2.7200,0.045485,0,0.008215
2.7300,0.045652,0,0.007940
2.7400,0.045819,0,0.007662
2.7500,0.045987,0,0.007382
2.7600,0.046154,0,0.007101
2.7700,0.046321,0,0.006816
2.7800,0.046488,0,0.006530
2.7900,0.046656,0,0.006242
2.8000,0.046823,0,0.005951
2.8100,0.046990,0,0.005658
2.8200,0.047157,0,0.005362
2.8300,0.047324,0,0.005065
2.8400,0.047492,0,0.004765
2.8500,0.047659,0,0.004463
2.8600,0.047826,0,0.004159
2.8700,0.047993,0,0.003852
2.8800,0.048161,0,0.003544
2.8900,0.048328,0,0.003233
2.9000,0.048495,0,0.002919
2.9100,0.048662,0,0.002604
2.9200,0.048829,0,0.002286
2.9300,0.048997,0,0.001966
2.9400,0.049164,0,0.001644
2.9500,0.049331,0,0.001320
2.9600,0.049498,0,0.000993
2.9700,0.049666,0,0.000664
2.9800,0.049833,0,0.000333
2.9900,0.050000,0,0.000000
3.0000,0.050000,0,0.000000

